first name;last name;issue_date;other;title;nachruf/tode;jub;Geburt/Tod;ID
lark;lothar;-;Bioer.  1°%.10.71;-;-;-;-;MBNR.6.PER.285
Adolph;Törte;-;85  %0.3.73;-;-;-;-;MBNR.6.PER.286
Raphael;ISvenfeld;-;Biosr.  31.1?,71;-;-;-;-;MBNR.6.PER.287
;Loerenson;-;rin  (zu  unrscht  vergessen)  16,°,73;-;-;-;-;MBNR.6.PER.288
;Löwenstein;-;Frinz  Hubertus  lebensbericht  Ni  ?%o,%,73;-;-;-;-;MBNR.6.PER.289
;Lävvenstein;18.5.7?;Julius  I,  70  25;-;-;-;-;MBNR.6.PER.290
Ldwig;loerenstein;-;70  16,.*%,73;-;-;-;-;MBNR.6.PER.291
Kkarl;Liwith;-;Prof  Kkarl;Prof.;-;-;-;MBNR.6.PER.292
Vaul;Löwy;-;2?6,6.70;-;Nachruf;-;-;MBNR.6.PER.293
;Lucas;-;leorol:!  loo.  eburtstae  17,2,.7?;-;-;-;-;MBNR.6.PER.294
Gertrud;Juckner;-;70  IT  %0.9.70;-;-;-;-;MBNR.6.PER.295
